Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            

Vardas1              Pavarde1            10                  4                   8                   8                   2                   8                   4                    

Vardas2              Pavarde2            8                   9                   10                  1                   4                   6                   8                    

Vardas3              Pavarde3            1                   7                   9                   3                   7                   7                   6                    

Vardas4              Pavarde4            4                   3                   8                   9                   2                   2                   8                    

Vardas5              Pavarde5            3                   1                   6                   8                   4                   1                   10                   

Vardas6              Pavarde6            5                   10                  6                   1                   9                   4                   6                    

Vardas7              Pavarde7            1                   5                   1                   5                   8                   6                   2                    

Vardas8              Pavarde8            9                   1                   3                   7                   3                   10                  6                    

Vardas9              Pavarde9            2                   1                   9                   1                   6                   7                   6                    

Vardas10             Pavarde10           9                   4                   3                   10                  5                   8                   6                    

Vardas11             Pavarde11           8                   4                   2                   9                   3                   10                  4                    

Vardas12             Pavarde12           8                   7                   4                   4                   7                   6                   4                    

Vardas13             Pavarde13           10                  3                   1                   2                   1                   5                   4                    

Vardas14             Pavarde14           10                  7                   10                  3                   8                   1                   2                    

Vardas15             Pavarde15           2                   8                   5                   3                   9                   7                   1                    

Vardas16             Pavarde16           8                   1                   9                   1                   1                   2                   4                    

Vardas17             Pavarde17           4                   5                   7                   10                  1                   2                   9                    

Vardas18             Pavarde18           1                   3                   9                   5                   4                   2                   9                    

Vardas19             Pavarde19           7                   3                   6                   6                   10                  2                   7                    

Vardas20             Pavarde20           10                  9                   1                   8                   10                  4                   3                    

Vardas21             Pavarde21           2                   2                   1                   1                   3                   10                  6                    

Vardas22             Pavarde22           3                   3                   4                   7                   9                   4                   1                    

Vardas23             Pavarde23           5                   7                   9                   6                   5                   3                   2                    

Vardas24             Pavarde24           9                   3                   5                   2                   1                   7                   5                    

Vardas25             Pavarde25           6                   6                   2                   1                   9                   6                   9                    

Vardas26             Pavarde26           1                   8                   4                   1                   2                   3                   5                    

Vardas27             Pavarde27           10                  3                   9                   1                   9                   7                   5                    

Vardas28             Pavarde28           3                   3                   3                   6                   2                   2                   4                    

Vardas29             Pavarde29           10                  7                   10                  3                   4                   2                   7                    

Vardas30             Pavarde30           7                   2                   7                   1                   8                   2                   5                    

Vardas31             Pavarde31           9                   5                   5                   3                   10                  8                   10                   

Vardas32             Pavarde32           10                  7                   1                   3                   1                   1                   4                    

Vardas33             Pavarde33           4                   9                   6                   8                   5                   6                   2                    

Vardas34             Pavarde34           2                   5                   9                   9                   2                   8                   3                    

Vardas35             Pavarde35           2                   3                   10                  1                   5                   1                   5                    

Vardas36             Pavarde36           8                   9                   3                   2                   5                   4                   10                   

Vardas37             Pavarde37           10                  9                   10                  3                   1                   3                   4                    

Vardas38             Pavarde38           3                   1                   4                   3                   7                   3                   7                    

Vardas39             Pavarde39           1                   6                   4                   8                   10                  8                   9                    

Vardas40             Pavarde40           5                   2                   2                   6                   10                  10                  7                    

Vardas41             Pavarde41           1                   3                   6                   1                   3                   2                   3                    

Vardas42             Pavarde42           7                   9                   7                   1                   5                   10                  9                    

Vardas43             Pavarde43           2                   7                   8                   9                   8                   8                   8                    

Vardas44             Pavarde44           3                   10                  5                   5                   7                   2                   6                    

Vardas45             Pavarde45           7                   9                   8                   2                   4                   7                   3                    

Vardas46             Pavarde46           8                   9                   3                   5                   1                   5                   4                    

Vardas47             Pavarde47           7                   8                   7                   5                   8                   1                   3                    

Vardas48             Pavarde48           6                   5                   7                   3                   2                   10                  8                    

Vardas49             Pavarde49           4                   2                   6                   6                   1                   7                   10                   

Vardas50             Pavarde50           1                   9                   10                  1                   3                   7                   5                    

Vardas51             Pavarde51           8                   5                   5                   7                   4                   4                   7                    

Vardas52             Pavarde52           2                   8                   1                   9                   2                   4                   2                    

Vardas53             Pavarde53           5                   1                   9                   3                   8                   5                   4                    

Vardas54             Pavarde54           8                   8                   9                   10                  8                   4                   6                    

Vardas55             Pavarde55           9                   7                   4                   6                   4                   8                   8                    

Vardas56             Pavarde56           10                  3                   6                   9                   6                   2                   3                    

Vardas57             Pavarde57           4                   6                   8                   10                  4                   9                   7                    

Vardas58             Pavarde58           9                   2                   9                   6                   2                   1                   1                    

Vardas59             Pavarde59           8                   7                   7                   6                   1                   1                   3                    

Vardas60             Pavarde60           1                   7                   4                   8                   6                   5                   6                    

Vardas61             Pavarde61           9                   3                   4                   2                   4                   2                   4                    

Vardas62             Pavarde62           3                   2                   1                   5                   6                   10                  1                    

Vardas63             Pavarde63           6                   5                   1                   3                   8                   7                   2                    

Vardas64             Pavarde64           6                   10                  4                   6                   2                   10                  3                    

Vardas65             Pavarde65           9                   5                   3                   8                   5                   2                   1                    

Vardas66             Pavarde66           9                   6                   4                   9                   9                   7                   6                    

Vardas67             Pavarde67           6                   7                   2                   5                   1                   3                   6                    

Vardas68             Pavarde68           2                   3                   6                   9                   8                   4                   3                    

Vardas69             Pavarde69           4                   1                   7                   3                   3                   2                   4                    

Vardas70             Pavarde70           7                   8                   7                   2                   9                   1                   8                    

Vardas71             Pavarde71           10                  7                   4                   9                   1                   6                   1                    

Vardas72             Pavarde72           3                   2                   1                   1                   8                   8                   7                    

Vardas73             Pavarde73           2                   8                   10                  7                   8                   8                   6                    

Vardas74             Pavarde74           5                   8                   7                   7                   6                   3                   9                    

Vardas75             Pavarde75           9                   5                   4                   3                   3                   9                   3                    

Vardas76             Pavarde76           7                   2                   10                  8                   9                   3                   1                    

Vardas77             Pavarde77           9                   6                   2                   5                   4                   7                   6                    

Vardas78             Pavarde78           1                   7                   5                   1                   3                   3                   5                    

Vardas79             Pavarde79           10                  8                   2                   5                   4                   3                   4                    

Vardas80             Pavarde80           7                   8                   9                   5                   10                  4                   6                    

Vardas81             Pavarde81           6                   10                  10                  10                  6                   5                   7                    

Vardas82             Pavarde82           2                   5                   2                   2                   6                   3                   9                    

Vardas83             Pavarde83           8                   10                  2                   10                  7                   9                   7                    

Vardas84             Pavarde84           5                   9                   3                   5                   10                  7                   2                    

Vardas85             Pavarde85           9                   4                   1                   5                   3                   1                   5                    

Vardas86             Pavarde86           8                   5                   2                   7                   8                   9                   9                    

Vardas87             Pavarde87           3                   10                  3                   9                   10                  6                   9                    

Vardas88             Pavarde88           8                   7                   5                   4                   6                   9                   2                    

Vardas89             Pavarde89           2                   7                   5                   6                   8                   5                   3                    

Vardas90             Pavarde90           2                   2                   8                   3                   2                   5                   1                    

Vardas91             Pavarde91           5                   1                   3                   9                   10                  9                   2                    

Vardas92             Pavarde92           9                   1                   7                   10                  2                   4                   1                    

Vardas93             Pavarde93           7                   6                   2                   8                   3                   3                   6                    

Vardas94             Pavarde94           8                   7                   2                   1                   5                   6                   1                    

Vardas95             Pavarde95           9                   6                   7                   8                   1                   9                   3                    

Vardas96             Pavarde96           7                   2                   5                   6                   1                   10                  4                    

Vardas97             Pavarde97           7                   9                   7                   6                   2                   3                   5                    

Vardas98             Pavarde98           7                   6                   6                   10                  2                   6                   7                    

Vardas99             Pavarde99           4                   2                   9                   6                   4                   2                   1                    

Vardas100            Pavarde100          5                   1                   2                   2                   5                   9                   1                    

