Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            

Vardas1              Pavarde1            7                   3                   7                   5                   5                   5                   1                    

Vardas2              Pavarde2            10                  10                  10                  2                   6                   1                   2                    

Vardas3              Pavarde3            2                   6                   9                   8                   6                   10                  2                    

Vardas4              Pavarde4            5                   6                   1                   6                   2                   3                   6                    

Vardas5              Pavarde5            3                   9                   7                   6                   5                   7                   8                    

Vardas6              Pavarde6            10                  7                   4                   5                   5                   1                   5                    

Vardas7              Pavarde7            9                   5                   3                   6                   1                   4                   3                    

Vardas8              Pavarde8            4                   4                   7                   3                   7                   5                   3                    

Vardas9              Pavarde9            7                   6                   9                   3                   3                   6                   8                    

Vardas10             Pavarde10           1                   3                   6                   2                   5                   4                   2                    

Vardas11             Pavarde11           9                   6                   4                   2                   10                  7                   7                    

Vardas12             Pavarde12           2                   9                   1                   2                   10                  3                   9                    

Vardas13             Pavarde13           6                   1                   4                   8                   2                   6                   4                    

Vardas14             Pavarde14           1                   5                   2                   2                   5                   8                   8                    

Vardas15             Pavarde15           3                   7                   4                   7                   10                  2                   6                    

Vardas16             Pavarde16           9                   3                   2                   8                   9                   7                   5                    

Vardas17             Pavarde17           8                   9                   2                   4                   3                   9                   6                    

Vardas18             Pavarde18           2                   3                   4                   3                   9                   8                   8                    

Vardas19             Pavarde19           2                   3                   10                  5                   9                   9                   10                   

Vardas20             Pavarde20           2                   7                   6                   10                  2                   4                   8                    

Vardas21             Pavarde21           8                   3                   1                   4                   10                  10                  4                    

Vardas22             Pavarde22           7                   1                   9                   3                   9                   3                   1                    

Vardas23             Pavarde23           5                   1                   4                   2                   4                   8                   7                    

Vardas24             Pavarde24           1                   3                   3                   10                  8                   6                   6                    

Vardas25             Pavarde25           2                   6                   4                   2                   6                   9                   4                    

Vardas26             Pavarde26           10                  4                   9                   9                   9                   5                   6                    

