Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            

Vardas1              Pavarde1            5                   3                   3                   9                   10                  6                   6                    

Vardas2              Pavarde2            4                   1                   2                   9                   8                   9                   4                    

Vardas3              Pavarde3            8                   4                   5                   6                   3                   4                   2                    

Vardas4              Pavarde4            7                   4                   7                   8                   6                   4                   3                    

Vardas5              Pavarde5            9                   8                   4                   6                   9                   9                   1                    

Vardas6              Pavarde6            10                  1                   7                   4                   9                   2                   5                    

Vardas7              Pavarde7            4                   7                   9                   10                  4                   2                   8                    

Vardas8              Pavarde8            6                   6                   2                   6                   9                   8                   9                    

Vardas9              Pavarde9            9                   7                   1                   4                   3                   4                   5                    

Vardas10             Pavarde10           4                   8                   4                   9                   10                  4                   8                    

Vardas11             Pavarde11           4                   9                   3                   4                   2                   8                   4                    

Vardas12             Pavarde12           7                   9                   9                   3                   3                   6                   4                    

Vardas13             Pavarde13           2                   3                   1                   10                  2                   3                   2                    

Vardas14             Pavarde14           4                   6                   10                  7                   8                   1                   1                    

Vardas15             Pavarde15           10                  5                   1                   4                   9                   10                  3                    

Vardas16             Pavarde16           8                   9                   2                   7                   10                  6                   2                    

Vardas17             Pavarde17           9                   3                   1                   1                   9                   1                   2                    

Vardas18             Pavarde18           6                   4                   10                  9                   1                   7                   10                   

Vardas19             Pavarde19           3                   3                   8                   4                   8                   3                   8                    

Vardas20             Pavarde20           4                   8                   9                   4                   6                   2                   4                    

Vardas21             Pavarde21           4                   9                   4                   2                   7                   10                  6                    

Vardas22             Pavarde22           4                   9                   7                   10                  10                  9                   5                    

Vardas23             Pavarde23           2                   2                   6                   8                   3                   3                   6                    

Vardas24             Pavarde24           6                   4                   3                   3                   3                   4                   5                    

Vardas25             Pavarde25           5                   3                   7                   3                   9                   8                   2                    

Vardas26             Pavarde26           5                   7                   7                   5                   8                   4                   9                    

Vardas27             Pavarde27           4                   2                   5                   8                   5                   4                   2                    

Vardas28             Pavarde28           7                   4                   7                   3                   9                   9                   9                    

Vardas29             Pavarde29           5                   1                   9                   5                   6                   2                   9                    

Vardas30             Pavarde30           7                   10                  8                   2                   1                   3                   8                    

Vardas31             Pavarde31           6                   9                   4                   6                   10                  7                   2                    

Vardas32             Pavarde32           3                   9                   6                   8                   1                   3                   9                    

Vardas33             Pavarde33           9                   10                  10                  1                   10                  4                   10                   

Vardas34             Pavarde34           6                   9                   10                  2                   3                   1                   8                    

Vardas35             Pavarde35           3                   7                   7                   5                   1                   5                   1                    

Vardas36             Pavarde36           6                   4                   8                   10                  3                   7                   3                    

Vardas37             Pavarde37           2                   4                   7                   6                   9                   1                   8                    

Vardas38             Pavarde38           10                  8                   2                   2                   10                  8                   10                   

Vardas39             Pavarde39           1                   4                   4                   8                   7                   5                   10                   

Vardas40             Pavarde40           2                   10                  4                   10                  9                   8                   4                    

Vardas41             Pavarde41           7                   2                   1                   7                   7                   7                   5                    

Vardas42             Pavarde42           6                   3                   7                   4                   10                  10                  3                    

Vardas43             Pavarde43           9                   6                   4                   1                   8                   2                   5                    

Vardas44             Pavarde44           1                   5                   3                   7                   2                   3                   10                   

Vardas45             Pavarde45           4                   4                   6                   10                  3                   5                   4                    

Vardas46             Pavarde46           6                   1                   5                   3                   1                   5                   5                    

Vardas47             Pavarde47           1                   7                   4                   7                   5                   8                   3                    

Vardas48             Pavarde48           5                   1                   10                  2                   6                   9                   6                    

Vardas49             Pavarde49           8                   9                   1                   6                   4                   5                   2                    

Vardas50             Pavarde50           10                  2                   5                   7                   6                   9                   4                    

Vardas51             Pavarde51           5                   9                   8                   7                   7                   10                  10                   

Vardas52             Pavarde52           8                   9                   10                  7                   5                   7                   10                   

Vardas53             Pavarde53           4                   7                   9                   8                   6                   9                   9                    

Vardas54             Pavarde54           2                   5                   8                   7                   1                   4                   2                    

Vardas55             Pavarde55           6                   10                  1                   10                  10                  10                  10                   

Vardas56             Pavarde56           2                   2                   5                   9                   10                  7                   1                    

Vardas57             Pavarde57           10                  1                   9                   9                   8                   3                   6                    

Vardas58             Pavarde58           6                   6                   10                  1                   1                   5                   3                    

Vardas59             Pavarde59           4                   1                   10                  7                   7                   9                   2                    

Vardas60             Pavarde60           10                  10                  8                   6                   7                   10                  2                    

Vardas61             Pavarde61           5                   5                   9                   7                   2                   8                   3                    

Vardas62             Pavarde62           5                   10                  8                   3                   1                   6                   1                    

Vardas63             Pavarde63           5                   1                   9                   10                  5                   8                   9                    

Vardas64             Pavarde64           1                   5                   3                   3                   9                   9                   1                    

Vardas65             Pavarde65           1                   1                   4                   2                   4                   5                   1                    

Vardas66             Pavarde66           1                   1                   5                   9                   8                   1                   10                   

Vardas67             Pavarde67           2                   2                   5                   6                   3                   2                   6                    

Vardas68             Pavarde68           9                   9                   6                   3                   3                   4                   5                    

Vardas69             Pavarde69           10                  7                   4                   4                   9                   2                   4                    

Vardas70             Pavarde70           9                   5                   2                   8                   2                   1                   4                    

Vardas71             Pavarde71           10                  5                   2                   8                   7                   9                   10                   

